Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-02-18,1.44,1.44,1.44,1.44
2019-02-19,1.44,1.44,1.44,1.44
2019-02-20,1.44,1.44,1.44,1.44
2019-02-21,1.44,1.44,1.44,1.44
2019-02-22,1.44,1.44,1.44,1.44
2019-02-25,1.44,1.44,1.44,1.44
2019-02-26,1.44,1.44,1.44,1.44
2019-02-27,1.44,1.44,1.44,1.44
2019-02-28,1.44,1.44,1.44,1.44
2019-03-01,1.44,1.44,1.44,1.44
2019-03-04,1.44,1.44,1.44,1.44
2019-03-05,1.44,1.44,1.44,1.44
2019-03-06,1.44,1.44,1.44,1.44
2019-03-07,1.44,1.44,1.44,1.44
2019-03-08,1.44,1.44,1.44,1.44
2019-03-11,1.44,1.44,1.44,1.44
2019-03-12,1.44,1.44,1.44,1.44
2019-03-13,1.44,1.44,1.44,1.44
2019-03-14,1.44,1.44,1.44,1.44
2019-03-15,1.44,1.44,1.44,1.44
2019-03-18,1.44,1.44,1.44,1.44
2019-03-19,1.44,1.44,1.44,1.44
2019-03-20,1.44,1.44,1.44,1.44
2019-03-21,1.44,1.44,1.44,1.44
2019-03-22,1.44,1.44,1.44,1.44
2019-03-25,1.44,1.44,1.44,1.44
2019-03-26,1.44,1.44,1.44,1.44
2019-03-27,1.44,1.44,1.44,1.44
2019-03-28,1.44,1.44,1.44,1.44
2019-03-29,1.44,1.44,1.44,1.44
2019-04-01,1.44,1.44,1.44,1.44
2019-04-02,1.44,1.44,1.44,1.44
2019-04-03,1.44,1.44,1.44,1.44
2019-04-04,1.44,1.44,1.44,1.44
2019-04-05,1.44,1.44,1.44,1.44
2019-04-08,1.44,1.44,1.44,1.44
2019-04-09,1.44,1.44,1.44,1.44
2019-04-10,1.44,1.44,1.44,1.44
2019-04-11,1.44,1.44,1.44,1.44
2019-04-12,1.44,1.44,1.44,1.44
2019-04-15,1.44,1.44,1.44,1.44
2019-04-16,1.44,1.44,1.44,1.44
2019-04-17,1.44,1.44,1.44,1.44
2019-04-18,1.44,1.44,1.44,1.44
2019-04-23,1.44,1.44,1.44,1.44
2019-04-24,1.44,1.44,1.44,1.44
2019-04-25,1.44,1.44,1.44,1.44
2019-04-26,1.44,1.44,1.44,1.44
2019-04-29,1.44,1.44,1.44,1.44
2019-04-30,1.44,1.44,1.44,1.44
2019-05-02,1.44,1.44,1.44,1.44
2019-05-06,1.44,1.44,1.44,1.44
2019-05-07,1.44,1.44,1.44,1.44
2019-05-08,1.44,1.44,1.44,1.44
2019-05-09,1.44,1.44,1.44,1.44
2019-05-10,1.44,1.44,1.44,1.44
